"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"UCMA",-0.0452858987763298,0.0150952995921099,-1.29849878730671,0.275763111402233,0.632951392072483,-7.71886327618842
"LINC01488",0.045271177561099,0.0150903925203663,1.29849866088816,0.275763150043185,0.632951392072483,-7.71886341801157
"MIR34BHG",0.045243478417424,0.0150811594724747,1.29849842268702,0.275763222851491,0.632951392072483,-7.71886368523845
"ARHGAP22-IT1",0.0452135343569934,0.0150711781189978,1.29849816468807,0.275763301711197,0.632951392072483,-7.71886397467556
"BLID",-0.0449649585918274,0.0149883195306091,-1.29849600301943,0.275763962445617,0.632951392072483,-7.71886639975107
"TRGV3",0.132807792275024,0.132587537694744,1.29849591998516,0.275763987825857,0.632951392072483,-7.71886649290333
"LOC105376291",0.0448632415048577,0.0149544138349526,1.2984951080915,0.27576423598925,0.632951392072483,-7.71886740372869
"LOC107985402",0.0448632415048577,0.0149544138349526,1.2984951080915,0.27576423598925,0.632951392072483,-7.71886740372869
"LOC105373411",0.044845194359408,0.0149483981198027,1.29849494867279,0.275764284717197,0.632951392072483,-7.71886758257303
"LOC105371665",-0.0445415124453279,0.0148471708151093,-1.29849223698743,0.275765113572665,0.632951392072483,-7.71887062468399
"LOC105379151",0.0444679982388895,0.0148226660796298,1.29849157218884,0.275765316775807,0.632951392072483,-7.71887137048961
"LOC100422781",-0.0444679982388895,0.0148226660796298,-1.29849157218884,0.275765316775807,0.632951392072483,-7.71887137048961
"MROCKI",0.0444093130225578,0.0148031043408526,1.29849103912009,0.275765479714358,0.632951392072483,-7.71887196851376
"OR4F17",0.0443228546894763,0.0147742848964921,1.29849024991368,0.275765720944489,0.632951392072483,-7.71887285388627
"LOC107985474",0.0443228546894763,0.0147742848964921,1.29849024991368,0.275765720944489,0.632951392072483,-7.71887285388627
"FCRLA",-0.0438574023305249,0.014619134110175,-1.29848592070037,0.275767044222753,0.632951392072483,-7.7188777106181
"LOC105372829",0.0437629574940905,0.0145876524980302,1.29848502536625,0.275767317893644,0.632951392072483,-7.71887871504882
"LOC105373166",0.0435603488282621,0.0145201162760874,1.29848308496402,0.275767911004569,0.632951392072483,-7.71888089188856
"LOC339166",-0.0433414180288019,0.014447139342934,-1.29848095758877,0.27576856126788,0.632951392072483,-7.71888327848267
"LOC105376168",0.043267754730864,0.014422584910288,1.29848023452562,0.275768782283046,0.632951392072483,-7.71888408965016
"OR6B2",0.043164616411245,0.014388205470415,1.29847921591724,0.275769093636376,0.632951392072483,-7.71888523237444
"LOC101929014",0.0431403452009586,0.0143801150669862,1.29847897514921,0.275769167230883,0.632951392072483,-7.71888550247965
"LOC105373417",0.0430735483877605,0.0143578494625868,1.29847831042937,0.27576937041298,0.632951392072483,-7.71888624819439
